投保范围_投保人符合条件集合,保险责任_保险责任集合,保险责任_医院和病房限制条件集合,住院费用和门诊费用的范围,责任免除_免除范围集合,责任免除_退还条件集合,合作医院_合作医院集合,预授权_预授权限制范围集合
['身体健康'],"['住院费用保险金', '住院前', '后门急诊费用保险金']",['国家卫生部医院等级分类中的二级或二级以上的医院，但不包括主要为门诊、康复、护理、疗养、戒酒、戒毒或相类似的医疗机构。同时该医院必须具有符合有关医院管理规定设置标准的医疗设备，并且提供24小时有合格医师及护士驻院的医疗和护理等服务'],['不详'],"['（1）投保人对被保险人的故意杀害、故意伤害', '（2）被保险人故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施', '（3）被保险人醉酒9，主动吸食或注射毒品10', '（4）健康检查11、疗养、矫形、视力矫正手术、美容、牙科保健及康复治疗、非意外事故所致整容手术', '（5）被保险人酒后驾驶12、无合法有效驾驶证驾驶13或驾驶无有效行驶证14的机动车', '（6）不孕不育治疗、人工受精、怀孕、分娩（含难产）、流产、堕胎、节育（含绝育）、产前产后检查以及由以上原因引起之并发症', '（7）被保险人所患先天性疾病或先天性畸形、变形和染色体异常15', '（8）被保险人从事潜水16、跳伞、攀岩17、蹦极、驾驶滑翔机或滑翔伞、探险18、摔跤、武术比赛19、特技表演20、赛马、赛车等高风险运动', '（9）被保险人感染艾滋病病毒或患艾滋病21', '（10）战争、军事冲突、暴乱或武装叛乱，核爆炸、核辐射或核污染', '（11）未书面告知的既往症']",无,不详,无
['无'],['住院及相关服务，特定器官移植手术费用，门诊费用，体检'],"['当地合法注册，以直接诊治病人为目的', '具备合规医疗设施、合格医生护士，提供全日医疗护理服务']","['住院及相关服务（住院治疗及服务', '癌症治疗', '肾透析治疗无力治疗', '精神疾病治疗', '门诊手术', '急诊治疗', '住院前门诊医疗', '住院后门诊医疗', '未成年人住院家长陪护', '当地救护车服务', '紧急牙科治疗', '无理赔住院津贴', '中国/新加坡公立医院住院津贴（不含港澳台）），门诊费用（全科医生服务', '专科医生服务', '精神疾病治疗', '实验室化验室检查', 'X光及诊断服务', '处方药物', '处方物理疗法', '语言障碍矫正法及眼球运动疗法', '处方医疗辅助装置', '处方补充疗法）']","['故意杀害、故意伤害', '故意犯罪或抗拒依法采取的刑事强制措施', '自伤自杀（被保险人自杀时为无民事行为能力人的除外）', '涉毒', '受酒精的影响', '酒后驾驶，无合法有效驾驶证驾驶，驾驶无有效行驶证的机动车', '战争、军事冲突、暴乱或武装叛乱、生化武器、恐怖活动', '核爆炸、核辐射或核污染', '挑衅或故意行为而导致打斗、被袭击或被杀害', '非医疗必需的检验、检查、诊断或治疗（保险责任中列明予以赔付的部分除外），以捐献身体器官为目的的医疗行为，疗养、静养、康复性治疗，包皮环切，非医疗必需的研究或治疗，戒烟', '遗传性疾病、先天性畸形、变形或染色体异常引起的治疗或手术', '未如实告知的既往症', '合同生效日起30天内接受的治疗，但因意外伤害事故导致的医疗治疗除外', '每保单年度在保障地区以外的国家或地区停留累计超过90天，且在保障地区以外国家或地区接受治疗发生的所有费用', '不孕不育治疗、产前产后检查、妊娠、异位妊娠、妊娠并发症、流产或分娩以及避孕、节育（含绝育）', '从事或参与特殊职业活动', '患艾滋病或感染艾滋病病毒（输血导致的除外）、性传播疾病或精神疾病（保险责任中列明予以赔付的部分除外）', '非外科医疗必需的矫形、整容设备或医疗装置以及验光配镜', '补充疗法（保险责任中列明予以赔付的部分除外）', '地震、台风、洪水及火山爆发', '器官及组织移植及其产生的费用（保险责任列明予以赔付的部分除外）', '实验性及试验性治疗及手术', '服兵役或参与执行军警任务或以执法者身份执行任务期间', '应由法定保险承担的与工伤相关的费用', '由以下各方向提供服务所产生的医疗费用，除非事先书面同意：a.)由雇主的员工提供的服务或使用雇主提供的医疗设施', 'b.)由与雇主签订协议的第三方提供的服务', '被保险人与就诊之医疗人员或机构产生的讼、争议而产生的费用，或其它任何未在本合同载明的费用', '牙科治疗及任何与牙齿相关的治疗（保险责任中列明予以赔付的除外）', '性无能、性功能或性能力障碍相关的治疗']",['责任免除项导致合同终止'],"['上海东方国际医院', '百汇医疗集团', '全康医疗', '上海美华妇产', '戴是凯', '维世达诊所', '北京港澳国际医疗中心', '北京美华妇产服务', '和睦家医院', '国际救援中心诊所', '上海康联医院', '上海瑞新医疗中心集团及百汇华鹰门诊部']","['住院治疗', '器官移植', '首次放疗、化疗、肾透析']"
['与投保人具有保险利益'],['常驻地与境外停留时间，住院医疗保险金，住院额外补贴保险金，无理赔住院补贴保险金，门诊急诊医疗保险金，门诊急诊额外补贴保险金，牙科医疗保险金，生育和新生儿医疗保险金，保障区域外紧急医疗，全球紧急医疗转运服务'],['公立医院（普通部）、公立医院（非普通部）、非公立医院、昂贵医院'],"['住院医疗费用（住院病房费', '膳食费', '护理费', '重症监护病房床位费', '处方药品', '医生费及治疗费', '当地救护车费', '植入手术（不包括器官相关费用）', '手术植入体', '住院手术费', '器官移植手术费', '检查化验费', '陪床床位费', '家庭护理费', '日间病房费', '住院相关急诊费', '其他住院费用', '临终关怀', '耐用医疗设备），门诊急诊医疗费用（挂号费', '医生诊疗费', '处方药品', '检查化验费', '门急诊手术费', '当地救护车费', '理疗费（包括物理治疗', '脊柱指压治疗', '职业病恢复指导和语言障碍治疗等）', '中医针灸疗法和顺势疗法', '中草药）']","['故意杀害、故意伤害', '故意犯罪或者抗拒依法采取的刑事强制措施', '涉毒', '酒驾，无合法有效驾驶证驾驶，驾驶无有效行驶证机动车', '战争、军事冲突、暴乱、武装叛乱', '核', '参加特殊职业活动', '未遵医嘱用药', '精神和心里障碍相关费用', '既往症', '遗传性、先天性疾病', '美容整形，脱发相关', '性功能治疗，生育相关治疗', '除心脏瓣膜、人工晶体、人工关节之外的其他人工器官材料费、安装和置换等费用、各种康复治疗器械、假体、义肢、自用的按摩保健和治疗用品、所有非处方（OTC）医疗器械', '器官移植供体费用、器官来源费用、低温储藏费用', '性病、艾滋', '无医生处方购药，超出通常医疗惯例费用', '实验性治疗', '家庭治疗、健康护理及合同未列明预防性医疗服务', '白癫风、蜘蛛痣、除瘢痕疙瘩型外的其他瘢痕、纹身去除、皮肤变色治疗或者手术费，非医学必需的对浅表静脉曲张的治疗或者手术费', '因鼾症、睡眠呼吸暂停综合征、疲劳综合征、飞机时差综合症', '非生理性或天然视力、听觉退化的治疗，屈光不正（近视、远视）、弱视或斜视等视力矫正手术', '购买或租用器械、拐杖、轮椅及其他医疗设备，维修或安装义肢，购买助听器、假眼、假牙、牙科器具或矫形器、眼镜、隐形眼镜，矫正鞋或者其他脚支撑器材（包括但不限于足弓支撑器、矫正器或者任何其他预防性的服务或者器材）费', '常规足部治疗及其他相关费用', '戒烟、减肥相关费用', '智能、教育等测试相关费用']",['责任免除中第一条外情形导致被保险人医疗费用支出或发生全球紧急医疗转运'],['网络医疗服务机构'],"['每次住院或接受门诊全麻手术', '化学治疗、放射治疗、血液透析、腹膜透析', '购买或者租用非一次性耐用医疗设备', '全球医疗紧急救援以及遗体遣送及安葬', '保障区域外紧急医疗', '每剂超过人民币4000元的处方药', '康复治疗，专职护士家庭护理，临终关怀', '不符合上述条件但保险期间内预期累计医疗费用超过人民币40000元的任何治疗', '或每剂超过人民币4000元的处方药']"
"['身体健康，在中国境内有惯常居住地的中国公民', '或凡身体健康，在中国境内有惯常居住地，年龄为 0 周岁', '至 75 周岁，持有外国护照和中国政府部门签发的合法有效的外国人就业证或 拥有中国境内居留证的外国人']","['基本保险责任1.安排入院并支付住院医疗费用2.运送被保险人就医或回国，3.遗体运返4.安排一名同行直系亲属的返回5.一名直系亲属探望被保险人的旅行费用6.紧急返回', '可选保险责任：1.救援医疗门诊急诊费用2.牙科急诊费用']",['无'],"['）住院费：包括检查费', '化验费', '护理费', 'ICU病房费', '诊断费', '治疗费', '病房（床位费）及膳食费用', '住院服装及住院日常用品费', '门诊急诊医疗费用：诊断费', '治疗费', '化验费', '物理检查费（包括心电图', 'X光费', '超声波', '计算机断层扫描即CT的费用）', '']","['1．被保险人在以下任一情形下开始的旅行：（1）本合同保险期间以外', '（2）以接受治疗为目的', '（3）诊断出为疾病末期（见9.16）后', '（4）在旅行开始之前12个月之内，被保险人处于接受治疗或药物控制且未经其医生许可旅行的。2．被保险人提出的紧急救援服务要求能够根据其持有的其它保险单获得相应的赔偿，且该保险单保险责任生效日早于本合同的', '3．任何没有事先通知并获得我们指定救援机构核准的费用，被保险人自行约定的服务及费用', '4．因被保险人或其委托人拒绝接受或延误接受救援机构的建议和其医生认可的运送服务', '5．被保险人返回其惯常居住地之后发生的费用', '6．外国人或香港、澳门、台湾地区的居民前往其国籍所在地期间发生的保险事故不在保险责任范围内。1.投保人对被保险人的故意杀害、故意伤害', '2.被保险人故意犯罪或抗拒依法采取的刑事强制措施', '3.被保险人自伤或自杀，但被保险人自杀时为无民事行为能力人的除外', '4.被保险人主动吸食或注射毒品（见9.17）', '5.被保险人酒后驾驶（见9.18），无合法有效驾驶证驾驶（见9.19），或驾驶无有效行驶证（见9.20）的机动车', '6.战争、军事冲突、暴乱、武装叛乱、恐怖活动、生化武器、核爆炸、核辐射、核污染', '7.因被保险人挑衅或故意行为而导致的打斗、被袭击或被杀害', '8.被保险人因酗酒或受酒精、毒品、国家管制药品影响而导致的伤害', '9.被保险人患先天性畸形、变形或染色体异常（见9.21）、先天性缺陷、遗传性疾病（见9.22），或患艾滋病(AIDS)（见9.23）或感染艾滋病病毒（HIV）（见9.24），或患性传播疾病（见9.25）或特定传染病（见9.26），或患精神疾病（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准），或患职业病（见9.27）', '10.被保险人未遵医嘱，私自服用、涂用、注射药物', '11.被保险人潜水（见9.28）、跳伞、攀岩（见9.29）、蹦极、探险（见9.30）、武术（见9.31）、摔跤、特技（见9.32）、赛马、赛车、卡丁车等高风险运动，或置身于任何飞机或空中运输工具（以乘客身份持有效客票乘坐商业航班者除外）期间12.被保险人参与竞技活动、体育比赛、预备和培训的测试，参加由体育运动联合会或类似机构组织的竞赛或比赛活动', '13.本合同生效日前180日（含）内，被保险人已有的疾病，或其它慢性疾病引起的疾病或病痛（牙科急诊除外）', '14.被保险人于本合同生效日前180日（含）内已接受治疗、诊断、医疗建议或处方药的已有疾病或症状，以及医生已就此提出医疗建议或治疗意见的已有疾病或症状（牙科急诊除外）', '15.不孕不育治疗、人工受孕、产前产后检查、妊娠、异位妊娠、流产或分娩以及避孕、节育（含绝育），或前述任何一种情形导致的并发症', '16.被保险人康复治疗、牙科修复（牙科急诊除外）、洗牙、洁齿、面部整容、矫形、器管移植、验眼配镜，装配假眼、假牙、假肢或助听器等残疾用具的费用', '17.任何异常气象、天气、地震或地质现象如水灾、地震、山体滑坡、泥石流、火山爆发、飓风、星体和陨石坠落。']","['三、如果由于不可抗力（见9.33）原因导致救援机构无法兑现本合同规定的任一保险责任，我们不承担任何保险责任', '发生上述第二项第1种情形导致被保险人身故的，我们将退还本合同终止时的现金价值给被保险人的法定继承人', '发生上述其它情形导致被保险人身故的，我们将被保险人身故时的现金价值退还给您']",不详,无
['享有社会医疗保险或公费医疗保障的人群'],"['住院医疗费用保险金', '2.住院手术费用保险金3.住院前', '后门诊医疗费用保险金4.无理赔优惠']",['指我们指定的医院或经中华人民共和国卫生部门评审确定的二级或以上的公立医院，但不包括精神病院及专供康复、护理、疗养、戒酒、戒毒、养老等非以直接诊治病人为目的之医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格的医生和护士驻院提供医疗和护理服务。当被保险人因遭受意外伤害事故须急救时不受此限，但经急救处理伤情稳定后，必须及时转入本合同所指医院治疗'],"['指我们指定的医院或经中华人民共和国卫生部门评审确定的二级或以上的公立医院，但不包括精神病院及专供康复', '护理', '疗养', '戒酒', '戒毒', '养老等非以直接诊治病人为目的之医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格的医生和护士驻院提供医疗和护理服务。当被保险人因遭受意外伤害事故须急救时不受此限，但经急救处理伤情稳定后，必须及时转入本合同所指医院治疗']","['1.投保人对被保险人的故意杀害、故意伤害', '2.被保险人故意犯罪或抗拒依法采取的刑事强制措施', '3.被保险人自伤或自杀，但被保险人自杀时为无民事行为能力人的除外', '4.被保险人主动吸食或注射毒品（见9.7）', '5.被保险人因酗酒或受酒精、毒品、国家管制药品的影响', '6.被保险人酒后驾驶（见9.8），无合法有效驾驶证驾驶（见9.9），或驾驶无有效行驶证（见9.10）的机动车', '7.战争、军事冲突、暴乱或武装叛乱、生化武器、恐怖活动', '8.核爆炸、核辐射或核污染', '9.因被保险人挑衅或故意行为而导致打斗、被袭击或被杀害', '10.被保险人非医疗必需（见9.11）的检验、检查、诊断或治疗，或被保险人以捐献身体器官为目的的医疗行为，或被保险人进行疗养、静养、康复性治疗', '11.被保险人因任何遗传性疾病（见9.12）、先天性畸形、变形或染色体异常（见9.13）所引起的治疗或手术', '12.被保险人所患未如实告知的既往症，包括受伤、异常症状和疾病', '13.不孕不育治疗、产前产后检查、妊娠、异位妊娠、妊娠并发症、流产或分娩以及避孕、节育（含绝育）', '14.被保险人以职业运动员身份参加的运动，或被保险人进行潜水（见9.14）、跳伞、攀岩（见9.15）、蹦极、探险（见9.16）、摔跤、武术（见9.17）、特技（见9.18）、赛马、赛车、卡丁车、高空飞行（以乘客身份持有效客票乘坐商业航班者除外）等高风险活动', '15.被保险人患艾滋病（AIDS）（见9.19）或感染艾滋病病毒（HIV）（见9.20），或患性传播疾病（见9.21）或特定传染病（见9.22），或患精神疾病（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '16.牙科治疗（因意外伤害事故引起除外），或任何原因导致的矫形、整容、美容手术、牙科修复或整形，或验光配镜，或安装及购买假牙、假眼、假肢、助听器等残疾用具，或心理咨询等', '17.地震、台风、洪水及火山爆发。']","['发生上述第1种情形导致本合同终止的，我们将退还本合同终止时的现金价值给被保险人', '如果被保险人身故的，该现金价值将作为被保险人的遗产处理。发生上述其它情形导致本合同终止的，我们将本合同终止时的现金价值退还给您。']",不详,无
['不享有社会医疗保险或公费医疗保障的人群'],"['住院医疗费用保险金', '2.\t住院手术费用保险金3.\t住院前', '后门诊医疗费用保险金4.\t无理赔优惠']",['指我们指定的医院或经中华人民共和国卫生部门评审确定的二级或以上的公立医院，但不包括精神病院及专供康复、护理、疗养、戒酒、戒毒、养老等非以直接诊治病人为目的之医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格的医生和护士驻院提供医疗和护理服务。当被保险人因遭遇意外伤害事故须急救时不受此限，但经急救处理伤情稳定后，必须及时转入本合同所指医院治疗'],"['住院医疗费用(床位费', '药品费', '救护车费', 'd.\t透析费', '诊疗费', '治疗费', '护理费', '检查费', '注射费', '输血费', '输氧费', '化验费', '输液费', '材料费（敷料', '石膏', '夹板及固定支架费）', '（住院手术费用：手术室费', '麻醉费', '手术监测费', '手术辅助费', '材料费', '术中用药费', '手术设备费）（门诊费：包括挂号费', '门诊诊疗费（含普通门诊', '特诊', '急诊', '专家门诊）', '药费', '院外会诊费', '病历工本费等）']","['1.\t投保人对被保险人的故意杀害、故意伤害', '2.\t被保险人故意犯罪或抗拒依法采取的刑事强制措施', '3.\t被保险人自伤或自杀，但被保险人自杀时为无民事行为能力人的除外', '4.\t被保险人主动吸食或注射毒品（见9.7）', '5.\t被保险人因酗酒或受酒精、毒品、国家管制药品的影响', '6.\t被保险人酒后驾驶（见9.8），无合法有效驾驶证驾驶（见9.9），或驾驶无有效行驶证（见9.10）的机动车', '7.\t战争、军事冲突、暴乱或武装叛乱、生化武器、恐怖活动', '8.\t核爆炸、核辐射或核污染', '9.\t因被保险人挑衅或故意行为而导致打斗、被袭击或被杀害', '10.\t被保险人非医疗必需（见9.11）的检验、检查、诊断或治疗，或被保险人以捐献身体器官为目的的医疗行为，或被保险人进行疗养、静养、康复性治疗', '11.\t被保险人因任何遗传性疾病（见9.12）、先天性畸形、变形或染色体异常（见9.13）所引起的治疗或手术', '12.\t被保险人所患未如实告知的既往症，包括受伤、异常症状和疾病', '13.\t不孕不育治疗、产前产后检查、妊娠、异位妊娠、妊娠并发症、流产或分娩以及避孕、节育（含绝育）', '14.\t被保险人以职业运动员身份参加的运动，或被保险人进行潜水（见9.14）、跳伞、攀岩（见9.15）、蹦极、探险（见9.16）、摔跤、武术（见9.17）、特技（见9.18）、赛马、赛车、卡丁车、高空飞行（以乘客身份持有效客票乘坐商业航班者除外）等高风险活动', '15.\t被保险人患艾滋病（AIDS）（见9.19）或感染艾滋病病毒（HIV）（见9.20），或患性传播疾病（见9.21）或特定传染病（见9.22），或患精神疾病（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '16.\t牙科治疗（因意外伤害事故引起除外），或任何原因导致的矫形、整容、美容手术、牙科修复或整形，或验光配镜，或安装及购买假牙、假眼、假肢、助听器等残疾用具，或心理咨询等', '17.\t地震、台风、洪水及火山爆发。']","['发生上述第1种情形导致本合同终止的，我们将退还本合同终止时的现金价值给被保险人', '如果被保险人身故的，该现金价值将作为被保险人的遗产处理。发生上述其它情形导致本合同终止的，我们将本合同终止时的现金价值退还给您。']",不详,无
['无'],"['住院费用补偿金', '指定门急诊费用补偿金']",['指具有系统性诊疗等程序或手术设备的经国家卫生行政部门认定的二级或以上医院，但上述医院并不包括观察室、联合病房和康复病房。'],"['实际发生的住院药品费', '住院手术费', '床位费', '膳食费和其他费用之和', '（门诊费：包括医生（释义十四）诊断', '处方', '救护车费', '药品费', 'X光检查', '护理', '医疗用品等在医院内发生的费用）']","['（1）\t被保险人在境外（释义十六）就医', '（2）\t投保人对被保险人的故意杀害、故意伤害', '（3）\t因被保险人挑衅或故意行为而导致的打斗、被袭击或被谋杀', '（4）\t被保险人参与执行军、警任务', '（5）\t被保险人故意自伤', '（6）\t被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '（7）\t被保险人酒后驾驶（释义十七）、无合法有效驾驶证驾驶（释义十八），或驾驶无有效行驶证（释义十九）的机动车', '（8）\t被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药（释义二十）不在此限', '（9）\t战争、军事冲突、暴乱或武装叛乱', '（10）\t任何恐怖分子行为（释义二十一）', '（11）\t核爆炸、核辐射或核污染', '（12）\t被保险人进行潜水（释义二十二）、滑水、滑雪、轮滑、滑板、滑板车、滑翔翼、跳伞、蹦极、攀岩运动（释义二十三）或探险活动（释义二十四）', '（13）\t被保险人进行摔跤、柔道、空手道、跆拳道、马术、拳击、武术的比赛或被保险人进行特技（释义二十五）表演', '（14）\t被保险人进行赛马、各种车辆表演、赛车运动、驾驶卡丁车', '（15）\t视力矫正、精神和行为障碍（释义二十六）或受酒精、毒品（释义二十七）、管制药物（释义二十八）影响', '（16）\t不孕不育治疗、人工受精、妊娠（包括异位妊娠）、分娩（含难产）、流产、堕胎、节育（含避孕及绝育）、产前产后检查以及由以上原因引起的并发症', '（17）\t美容、外科整形', '（18）\t先天性疾病、先天性畸形、变形或染色体异常（释义二十九）', '（19）\t牙齿修复、牙齿整形，以及非因意外事故而进行的牙齿、牙周、牙床治疗及手术', '（20）\t一般身体检查、疗养、特别护理或静养、康复性治疗、既非手术又非药物的治疗', '（21）\t等待期（释义三十）内药物过敏、食物中毒、细菌或病毒感染（但因意外事故致有伤口而生感染者除外）或其他医疗导致的伤害', '（22）\t扁桃腺、腺状肿、疝气、女性生殖器官的疾病，但被保险人在本合同持续有效达一百二十日以后接受此四类疾病的治疗或外科手术者不在此限', '（23）\t被保险人感染艾滋病病毒或患艾滋病（释义三十一）。']",无,不详,无
['无'],"['住院费用补偿金', '指定门急诊费用补偿金']",['指具有系统性诊疗等程序或手术设备的经国家卫生行政部门认定的二级或以上医院，及本公司指定属于本合同就诊范围的其他医院，但上述医院并不包括观察室、联合病房和康复病房。'],"['（住院费：实际发生的住院药品费（释义七）', '住院手术费', '床位费（释义八）', '膳食费（释义九）和其他费用（释义十）之和）（门诊费：包括医生（释义十四）诊断', '处方', '救护车费', '药品费', 'X光检查', '护理', '医疗用品等在医院内发生的费用。）']","['（1）\t被保险人在境外（释义十六）就医', '（2）\t投保人对被保险人的故意杀害、故意伤害', '（3）\t因被保险人挑衅或故意行为而导致的打斗、被袭击或被谋杀', '（4）\t被保险人参与执行军、警任务', '（5）\t被保险人故意自伤', '（6）\t被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '（7）\t被保险人酒后驾驶（释义十七）、无合法有效驾驶证驾驶（释义十八），或驾驶无有效行驶证（释义十九）的机动车', '（8）\t被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药（释义二十）不在此限', '（9）\t战争、军事冲突、暴乱或武装叛乱', '（10）\t任何恐怖分子行为（释义二十一）', '（11）\t核爆炸、核辐射或核污染', '（12）\t被保险人进行潜水（释义二十二）、滑水、滑雪、轮滑、滑板、滑板车、滑翔翼、跳伞、蹦极、攀岩运动（释义二十三）或探险活动（释义二十四）', '（13）\t被保险人进行摔跤、柔道、空手道、跆拳道、马术、拳击、武术的比赛或被保险人进行特技（释义二十五）表演', '（14）\t被保险人进行赛马、各种车辆表演、赛车运动、驾驶卡丁车', '（15）\t视力矫正、精神和行为障碍（释义二十六）或受酒精、毒品（释义二十七）、管制药物（释义二十八）影响', '（16）\t不孕不育治疗、人工受精、妊娠（包括异位妊娠）、分娩（含难产）、流产、堕胎、节育（含避孕及绝育）、产前产后检查以及由以上原因引起的并发症', '（17）\t美容、外科整形', '（18）\t先天性疾病、先天性畸形、变形或染色体异常（释义二十九）', '（19）\t牙齿修复、牙齿整形，以及非因意外事故而进行的牙齿、牙周、牙床治疗及手术', '（20）\t一般身体检查、疗养、特别护理或静养、康复性治疗、既非手术又非药物的治疗', '（21）\t等待期（释义三十）内药物过敏、食物中毒、细菌或病毒感染（但因意外事故致有伤口而生感染者除外）或其他医疗导致的伤害', '（22）\t扁桃腺、腺状肿、疝气、女性生殖器官的疾病，但被保险人在本合同持续有效达一百二十日以后接受此四类疾病的治疗或外科手术者不在此限', '（23）\t被保险人感染艾滋病病毒或患艾滋病（释义三十一）。']",无,不详,无
['无'],['门急诊费用补偿金'],"['\t拥有合法经营执照', '\t设立的主要目的为向受伤者和患病者提供留院治疗和护理服务', '\t有合格的医生和护士提供全日二十四小时的医疗和护理服务。作为康复医院、诊所、护理、疗养、戒酒、戒毒或类似的医疗机构均不属于本合同的医院范围。']","['医生（释义四）诊断', '处方', '门诊手术费', '救护车费', '药品费（释义五）', 'X光检查', '护理', '医疗用品等在医院内发生的费用。']","['（1）\t投保人对被保险人的故意杀害、故意伤害', '（2）\t因被保险人挑衅或故意行为而导致的打斗、被袭击或被谋杀', '（3）\t被保险人参与执行军、警任务', '（4）\t被保险人故意自伤', '（5）\t被保险人故意犯罪或者抗拒依法采取的刑事强制措施。（6）\t被保险人酒后驾驶（释义七）、无合法有效驾驶证驾驶（释义八），或驾驶无有效行驶证（释义九）的机动车', '（7）\t被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药（释义十）不在此限', '（8）\t战争、军事冲突、暴乱或武装叛乱', '（9）\t任何恐怖分子行为（释义十一）', '（10）\t核爆炸、核辐射或核污染', '（11）\t被保险人进行潜水（释义十二）、滑水、滑雪、轮滑、滑板、滑板车、滑翔翼、跳伞、蹦极、攀岩运动（释义十三）或探险活动（释义十四）', '（12）\t被保险人进行摔跤、柔道、空手道、跆拳道、马术、拳击、武术的比赛或被保险人进行特技（释义十五）表演', '（13）\t被保险人进行赛马、各种车辆表演、赛车运动、驾驶卡丁车', '（14）\t视力矫正、精神和行为障碍（释义十六）或受酒精、毒品（释义十七）、管制药物（释义十八）影响', '（15）不孕不育治疗、人工受精、妊娠（包括异位妊娠）、分娩（含难产）、流产、堕胎、节育（含避孕及绝育）、产前产后检查以及由以上原因引起的并发症', '（16）\t美容、外科整形', '（17）\t先天性疾病、先天性畸形、变形或染色体异常（释义十九）', '（18）\t牙齿修复、牙齿整形，以及非因意外事故（释义释义二十）而进行的牙齿、牙周、牙床治疗及手术', '（19）\t一般身体检查、疗养、特别护理或静养、康复性治疗、既非手术又非药物的治疗', '（20）\t被保险人感染艾滋病病毒或患艾滋病（释义二十一）', '（21）\t免疫接种、疫苗接种或者预防接种', '（22）\t购买或者使用专用支架、器械、设备或者假肢，移植物、隐形眼镜、眼镜、助听器或者试用此类物品', '（23）\t非医疗必需（释义二十二）的治疗或非体检必需', '（24）\t被保险人支出的医疗费用中依法应由第三者赔偿的部份,但肇事者逃逸或无赔偿能力的除外。']",无,不详,无
['无'],['门急诊费用补偿金'],"['\t拥有合法经营执照', '\t设立的主要目的为向受伤者和患病者提供留院治疗和护理服务', '\t有合格的医生和护士提供全日二十四小时的医疗和护理服务。作为康复医院、诊所、护理、疗养、戒酒、戒毒或类似的医疗机构均不属于本合同的医院范围。']","['医生（释义四）诊断', '处方', '门诊手术费', '救护车费', '药品费（释义五）', 'X光检查', '护理', '医疗用品等在医院内发生的费用。']","['（1）\t投保人对被保险人的故意杀害、故意伤害', '（2）\t因被保险人挑衅或故意行为而导致的打斗、被袭击或被谋杀', '（3）\t被保险人参与执行军、警任务', '（4）\t被保险人故意自伤', '（5）\t被保险人故意犯罪或者抗拒依法采取的刑事强制措施。（6）\t被保险人酒后驾驶（释义七）、无合法有效驾驶证驾驶（释义八），或驾驶无有效行驶证（释义九）的机动车', '（7）\t被保险人未遵医嘱，私自使用药物，但按使用说明的规定使用非处方药（释义十）不在此限', '（8）\t战争、军事冲突、暴乱或武装叛乱', '（9）\t任何恐怖分子行为（释义十一）', '（10）\t核爆炸、核辐射或核污染', '（11）\t被保险人进行潜水（释义十二）、滑水、滑雪、轮滑、滑板、滑板车、滑翔翼、跳伞、蹦极、攀岩运动（释义十三）或探险活动（释义十四）', '（12）\t被保险人进行摔跤、柔道、空手道、跆拳道、马术、拳击、武术的比赛或被保险人进行特技（释义十五）表演', '（13）\t被保险人进行赛马、各种车辆表演、赛车运动、驾驶卡丁车', '（14）\t视力矫正、精神和行为障碍（释义十六）或受酒精、毒品（释义十七）、管制药物（释义十八）影响', '（15）不孕不育治疗、人工受精、妊娠（包括异位妊娠）、分娩（含难产）、流产、堕胎、节育（含避孕及绝育）、产前产后检查以及由以上原因引起的并发症', '（16）\t美容、外科整形', '（17）\t先天性疾病、先天性畸形、变形或染色体异常（释义十九）', '（18）\t牙齿修复、牙齿整形，以及非因意外事故（释义释义二十）而进行的牙齿、牙周、牙床治疗及手术', '（19）\t一般身体检查、疗养、特别护理或静养、康复性治疗、既非手术又非药物的治疗', '（20）\t被保险人感染艾滋病病毒或患艾滋病（释义二十一）', '（21）\t免疫接种、疫苗接种或者预防接种', '（22）\t购买或者使用专用支架、器械、设备或者假肢，移植物、隐形眼镜、眼镜、助听器或者试用此类物品', '（23）\t非医疗必需（释义二十二）的治疗或非体检必需', '（24）\t被保险人支出的医疗费用中依法应由第三者赔偿的部份,但肇事者逃逸或无赔偿能力的除外。']",无,不详,无
