缴费方式_是否有最低保费和最低保金要求,住院及手术医疗保险金_是无社保给付比例是否是区别,门诊医疗保险金_是无社保给付比例是否是区别,是否存在保额提升情况_单项,是否存在保额提升情况_是否有多次给付给付次数,责任免除_是否有退还,续保_是否有等待期,续保_是否需要体检,续保_是否承诺续保,续保_是否有自动续保,无保险事故优惠_是否有优惠,保险费率的调整,合同终止与满期之间间隔限制_是否有间隔限制,合作医院_是无有合作医院,预授权_是否有预授权,预授权_需要通知时间,未及时核定补偿_是否是补偿,未及时核定补偿_延迟利息,险种转换_单项,险种转换_险种规定集合,险种转换_转换后是有等待期,险种转换_等待期,险种转换_允许转换的时间,自动垫交保险费
无,否,否,否,否,否,否,否,否,否,否,无,否,无,是,48,否,无,无,无,无,无,无,不详
否,否,否,是,不详,否,否,不详,是,是,不详,是,否,是,否,无,无,无,无,无,无,无,无,无
是,是,是,是,不详,否,是,否,否,否,不详,是,否,无,无,无,是,不详,无,无,无,无,无,无
是,是,是,是,不详,否,是,不详,否,否,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,是,否,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,无,否,否,是,是,否,否,是,无,是,是,无,无,无,是,约定,无,无,无,无,无,无
是,否,否,否,否,否,是,否,是,是,无,是,是,是,无,无,是,约定,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,无,否,否,否,否,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,否,否,无,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,是,否,不详,否,否,否,是,否,无,是,48,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,是,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
是,否,否,否,否,否,是,否,是,是,无,是,是,是,无,无,是,约定,无,无,无,无,无,无
否,是,是,是,约定,否,是,否,否,是,是,是,否,是,否,无,否,无,无,无,无,无,无,无
否,是,是,是,约定,否,是,否,否,是,是,是,否,是,否,无,否,无,无,无,无,无,无,无
无,是,是,否,否,否,否,否,否,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,是,约定,是,否,否,否,否,否,是,否,是,是,48,是,约定,无,无,无,无,无,无
否,否,否,否,否,是,否,否,否,是,否,是,否,是,是,不详,是,约定,无,无,无,无,无,无
否,否,否,否,否,是,不详,不详,不详,不详,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,是,是,否,否,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,不详,是,否,否,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,不详,不详,否,否,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,否,否,无,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,否,否,无,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,是,约定,否,否,否,否,否,无,是,否,是,否,无,是,约定,无,无,无,无,无,无
否,是,是,是,约定,否,否,否,否,否,否,是,否,是,否,无,是,约定,无,无,无,无,无,无
无,否,否,否,否,否,否,否,无,无,否,无,否,无,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,否,否,无,无,否,否,否,无,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,是,无,无,无,无,否,是,否,是（救援机构）,否,无,不详,不详,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,否,否,否,是,无,无,无,无,否,是,否,是（救援机构）,否,无,不详,不详,无,无,无,无,无,无
是,是,是,否,不详,是,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,是,约定,是,否,否,否,否,是,是,是,无,否,无,否,无,无,无,无,无,无,无
否,是,是,否,否,是,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,是,约定,是,否,否,否,否,是,是,是,无,否,无,否,无,无,无,无,无,无,无
否,是,是,是,约定,是,否,否,否,否,是,是,是,无,否,无,否,无,无,无,无,无,无,无
否,是,是,是,约定,是,否,否,是,否,否,是,无,是,否,无,不详,不详,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,是,是,否,无,否,无,无,无,无,无,无,无,无,无
否,否,否,是,否,否,无,是,是,是,否,是,否,是,否,无,是,无,是,优越人生A款防癌综合医疗保险合同,无,无,无限制,有
是,是,否,否,否,否,否,否,否,否,否,是,是,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,是,是,否,是,是,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,是,是,否,是,否,是,否,无,是,不详,是,优越人生B款防癌综合医疗保险合同,无,无,合同有效期内,无
否,是,是,无,否,是,否,否,否,否,否,是,否,是,否,无,是,是,无,无,无,无,无,无
否,是,是,否,否,是,不详,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
无,否,否,否,否,是,否,否,否,是,无,是,否,无,否,无,是,约定,无,无,无,无,无,无
无,无,无,否,否,否,否,否,否,是,否,是,否,无,否,无,是,无,无,无,无,无,无,无
无,无,无,否,否,否,否,否,否,是,无,是,否,无,否,无,是,无,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,否,否,否,否,无,否,无,否,无,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,是,否,是,否,是,是,无,是,约定,是,平安安享住院费用医疗保险(B)合同,无,无,合同有效期内,无
无,否,否,否,否,否,否,否,否,是,否,是,否,是,否,无,是,约定,是,平安安康住院费用医疗保险(A)合同,无,无,合同有效期内,无
无,否,否,否,否,否,否,否,否,是,否,是,否,是,否,无,是,约定,是,平安安康住院费用医疗保险(B)合同,无,无,合同有效期内,无
无,否,是,否,否,否,否,是,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
无,无,是,否,否,否,否,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
无,是,是,否,否,否,否,否,否,是,否,是,否,是,是,无,是,约定,是,平安安享住院费用医疗保险(A)合同,无,无,合同有效期内,无
是,否,否,否,否,否,无,无,无,无,否,是,是,是,否,无,否,无,无,无,无,无,无,无
是,无,否,否,否,否,无,无,无,无,否,否,是,是,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,是,是,是,无,是,是,48,是,约定,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,否,是,否,是,否,无,是,约定,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,是,是,否,是,是,48,是,约定,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,否,是,否,不详,否,无,是,约定,无,无,无,无,无,无
是,是,是,否,否,是,不详,不详,不详,不详,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
是,不详,不详,否,否,不详,不详,不详,不详,不详,不详,不详,否 ,无,否,无,是,不详,无,无,无,无,无,无
是,是,是,否,否,不详,不详,不详,不详,不详,否,否,否,无,是,不详,不详,不详,无,无,无,无,无,无
是 ,不详,不详,否,否,否,不详 ,不详 ,不详 ,不详 ,否,否,否,无,是,不详,不详,不详,无,无,无,无,无,无
是,无,无,否,否,不详,不详,不详,不详,不详,不详,是,否,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,否,是,否,无,否,无,否,无,无,无,无,无,无,无
是,不详 ,不详,否,否,是,不详,不详 ,不详,不详,不详,否,无,无,否,无,是,不详,无,无,无,无,无,无
是,不详,不详,否,否,不详,不详,不详,不详,不详,不详,否,否,无,否,无,是,不详,无,无,无,无,无,无
不详,不详,不详,否,否,不详,不详,不详,不详,不详,不详,否,否,无,是,不详,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,否,是,否,是,否,无,不详,不详,无,无,无,无,无,无
否,否,否,否,否,是,否,否,是,否,否,是,否,无,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,否,否,否,是,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
无,是,是,否,否,否,否,否,是,是,否,否,否,无,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,否,否,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,是,否,是,是,事前,否,无,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,是,是,否,是,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,是,否,否,否,否,否,是,否,无,是,不详,否,无,无,无,无,无,无,无
无,无,无,否,否,否,否,否,否,是,否,是,否,无,否,无,否,无,无,无,无,无,无 ,无
否,是,无,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,无,无,无,无,无,有
否,否,无,否,否,否,否,否,否,否,否,是,是,是,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,无,无,无,无,否,是,是,是,否,无,是,约定,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,是,否,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,是,是,否,是,是,是,否,无,是,约定,是,平安安康住院费用医疗保险(A)合同,无,无,无限制,无
否,是,是,否,否,否,否,否,是,是,否,是,是,是,是,事前,是,约定,是,平安安享住院费用医疗保险(B)合同,无,无,无限制,有
否,是,是,否,否,否,否,否,是,是,否,是,是,是,是,事前,是,约定,是,平安安享住院费用医疗保险(A)合同,无,无,无限制,有
否,是,是,否,否,是,否,否,是,是,否,是,否,是,否,无,是,约定,是,平安安康住院费用医疗保险(B)合同,无,无,不详,无
否,否,否,否,否,否,否,否,否,否,否,是,是,是,是,48,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,是,是,无,是,事前,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,否,否,否,否,否,是,否,无,否,无,否,无,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,是,是,无,是,事前,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,否,否,是,否,否,是,否,无,是,事前,否,无,无,无,无,无,无,无
否,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,否,否,否,否,否,否,否,无,是,48,是,不详,无,无,无,无,无,无
是,不详,不详,否,否,不详,不详,不详,否,否,否,否,否,无,否,无,是,无,无,无,无,无,无,无
是,不详,不详,否,否,无,不详,不详,否,否,否,是,否,无,是,不详,是,无,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,是,否,无,是,不详,是,不详,无,无,无,无,无,无
不详,不详,不详,否,否,否,不详,不详,否,否,否,是,否,无,是,不详,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,不详,否,无,否,无,是,不详,无,无,无,无,无,无
是,不详,不详,否,否,是,否,不详,否,否,是,是,否,无,否,无,是,不详,是,中英人寿康悦年华医疗保险(社保型),无,无,不详,无
是,是,是,否,否,是,否,不详,否,是,是,是,否,无,否,无,是,不详,是,中英人寿康悦年华医疗保险(非社保型),无,无,不详,无
不详,是,是,否,否,无,不详,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,否,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,是,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,是,约定,否,否,否,否,是,是,是,否,是,是,事前,是,约定,无,无,无,无,无,无
否,否,否,是,约定,否,否,否,否,是,是,是,否,是,是,事前,是,约定,无,无,无,无,无,无
否,是,是,是,约定,是,否,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,是,是,否,否,否,是,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
不详,不详,不详,否,否,不详,否,不详,否,是,是,是,否,是,是,不详,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,不详,不详,不详,不详,不详,否,不详,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,不详,否,否,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,是,不详,不详,否,否,否,不详,不详,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,是,约定,否,否,否,否,否,是,是,否,是,是,48,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,否,无,不详,否,无,是,48,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,是,是,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,是,是,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,否,否,是,否,否,否,是,否,是,否,是,否,无,是,约定,无,无,无,无,无,无
否,无,是,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,是,约定,否,否,否,否,是,否,是,否,是（定点医院）,否,无,否,无,无,无,无,无,无,无
否,不详,不详,否,否,否,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,不详,不详,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,无,否,否,否,无,无,无,无,否,是,否,是（定点医院）,否,无,是,约定,无,无,无,无,无,无
是,否,无,是,约定,否,否,否,否,是,否,是,否,是,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,否,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
是,否,无,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,否,否,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,是,约定,否,否,否,否,否,是,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,是,约定,否,否,否,否,否,否,是,否,无,是,事前,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,是,不详,是,是,否,是,否,是,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,不详,不详,否,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,否,无,是,约定,否,否,否,否,否,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,是,不详,否,否,否,是,否,是,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
是,否,无,是,是,是,否,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
是,否,无,是,是,是,是,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
不详,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,是,无,是,不详,无,无,无,无,无,无
是,否,无,是,是,是,否,否,否,否,是,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,是,是,否,否,否,否,是,否,是,否,是,否,无,否,无,是,无,无,无,无,无,无,无
不详,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,否,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
不详,不详,不详,否,否,不详,不详,不详,否,否,否,否,不详,无,无,无,是,不详,无,无,无,无,无,不详
否,不详,不详,否,否,是,不详,不详,否,否,否,是,否,是,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,否,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,否,无,否,否,否,无,无,无,无,否,是,否,是（定点医院）,否,无,是,约定,无,无,无,无,无,无
否,不详,不详,否,不详,是,不详,不详,否,否,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,否,无,否,否,否,无,无,无,无,否,是,否,是（定点医院）,否,无,是,约定,无,无,无,无,无,无
否,不详,否,否,否,否,否,否,是,否,是,是,不详,是,否,不详,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,无,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,是,是,否,否,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,是,不详,否,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
不详,不详,否,否,否,不详,不详,不详,不详,不详,否,否,否,无,否,无,否,无,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,不详,无,无,无,无,无,无,无
否,不详,不详,否,否,否,否,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详 ,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,不详,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,否,不详,是,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,否,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,否,无,无,无,无,无,无,无
否,不详,不详,否,否,否,是,不详,否,否,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,无,无,无,无,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,不详,不详,无,无,否,否,否,无,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
不详,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,否,否,无,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,是,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,是,不详,不详,否,是,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
无,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,是,否,否,否,是,否,是,否,无,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,是,是,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,是,是,是,否,无,否,无,是,无,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,是,是,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,是,无,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,否,否,否,否,无,否,无,是,约定,无,无,无,无,无,无
无,否,否,否,否,否,否,否,否,是,否,是,否,无,否,无,是,无,无,无,无,无,无,无
否,否,否,否,否,否,否,否,否,否,否,是,否,是,否,无,是,无,无,无,无,无,无,无
否,否,否,否,否,是,否,否,否,否,否,否,否,无,否,无,是,约定,无,无,无,无,无,无
否,否,无,否,否,否,无,无,无,无,否,否,否,是,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,是,无,无,无,无,否,是,否,是,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
是,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,是,否,不详,否,否,否,是,否,无,否,无,是,不详,无,无,无,无,无,无
无,否,否,否,否,否,无,无,否,否,否,否,是,无,否,无,否,无,无,无,无,无,无,无
否,是,否,否,否,否,否,不详,是,是,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
不详,否,否,否,否,不详,是,不详,否,否,否,否,不详,无,否,无,是,不详,无,无,无,无,无,无
否,否,否,否,否,否,不详,不详,不详,不详,无,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,是,是,否,否,否,否,不详,否,否,无,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,是,不详,否,否,无,是,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,否,不详,否,否,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
否,不详,不详,否,否,否,不详,不详,不详,不详,否,否,否,无,否,无,是,不详,无,无,无,无,无,无
