等待期,重大疾病保险金_给付数,重大疾病保险金_等待期,是否有多次给付_是否有多次给付给付次数,观察期
{'default': 180},1,{'default': 180},{'default': 1},无
约定,1,约定,{'default': 1},无
无,1,{'default': 180},{'default': 1},"{'急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化症': '180日', '严重脊髓灰质炎': '180日', '持续植物人状态': '30日', '严重胰岛素依赖型糖尿病': '180日'}"
无,1,{'default': 180},{'default': 1},"{'脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化症': '180日', '严重脊髓灰质炎': '180日', '持续植物人状态': '30日'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'急性心肌梗塞': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '多发性硬化症': '180日', '严重脊髓灰质炎': '180日', '持续植物人状态': '30日', '特定疾病：特定脑中风后遗症': '180日'}"
{'default': 365},1,{'default': 365},{'default': 1},"{'急性心肌梗塞': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日', '因职业关系导致的人类免疫缺陷病毒HIV感染': '6月'}"
{'default': 60},1,{'default': 60},{'default': 1},无
{'default': 365},"特定疾病,1;重大疾病,1;,疾病终末期,1;,长期护理,不详;",{'default': 365},"{'default': 1, '': None}",不详
约定,1,约定,{'default': 1},"{'急性心肌梗塞': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日'}"
无,不详,{'default': 10},{'default': 1},"{'急性心肌梗塞': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失-三岁始理赔': '12月', '多发性硬化症': '180日', '植物人状态': '1月', '胰岛素严赖型糖尿病Ｉ型糖尿病': '180日', '原发性心肌病': '180日', '坏死性筋膜炎': '6月', '严重类风湿性关节炎': '6月', '脊髓灰质炎': '180日', '因职业关系导致的人类免疫缺陷病毒感染': '6月', '川崎病': '180日', '埃博拉病毒感染': '30日', '严重心肌炎': '90日', '轻微脑中风': '180日', '重症头部外伤': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '脊髓灰质炎': '180日', '植物人状态': '30日', '1型糖尿病': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '脊髓灰质炎': '3月', '重度胰岛素依赖型糖尿病I型糖尿病': '180日'}"
无,1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日'}"
{'default': 60},1,{'default': 60},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '瘫痪': '180日', '严重脑损伤': '180日', '植物人状态': '1月', '深度昏迷': '96时', '去皮质综合症植物状态': '1月', '胰岛素依赖型糖尿病1型糖尿病': '6月', '严重的多发性硬化': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'胰岛素依赖型糖尿病I型糖尿病': '180日', '严重哮喘': '180日', '全身型幼年类风湿性关节炎斯蒂尔氏病': '180日', '严重川崎病': '180日', '语言能力丧失': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日'}"
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 0},1,{'default': 0},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},{'default': '90日'}
{'default': 180},4,{'default': 180},{'default': 4},{'default': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 30},1,{'default': 30},{'default': 1},{'default': '30日'}
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '多发性硬化症': '180日', '植物人状态': '1月', '严重的Ｉ型糖尿病': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脊髓灰质炎': '180日', '慢性复发性胰腺炎': '180日', '多发性硬化症': '180日', '严重脑损伤': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑中风后遗症': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'严重类风湿性关节炎': '180日', '多发性硬化症': '180日', '语言能力丧失': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日'}"
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
不详,不详,"{'首次重大疾病': 180, '第二次重大疾病': 365}",不详,不详
{'default': 180},不详,{'default': 180},不详,不详
{'default': 365},1,{'default': 365},{'default': 1},不详
{'default': 180},不详,{'default': 180},不详,不详
{'default': 180},1,{'default': 180},不详,无
{'default': 365},不详,{'default': 365},不详,不详
{'default': 60},1,{'default': 60},{'default': 1},{'default': '28日'}
{'default': 90},不详,{'default': 90},不详,不详
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 180},不详,{'default': 180},不详,不详
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
不详,不详,{'default': 90},不详,不详
{'default': 180},0,{'default': 180},{'default': 0},无
{'default': 365},1,{'default': 365},{'default': 1},不详
{'default': 90},无,{'default': 90},无,无
"{'重大疾病等待期': 90, '生命关爱等待期': 365}",1,{'default': 90},{'default': 1},"{'植物人状态': '30日', '多发性硬化症': '6月', '原发性心肌病': '180日', '全身性重症肌无力': '365日', '肌营养不良症': 'none', '疾病或外伤所致智力障碍': '180日', '严重心肌炎': '90日'}"
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '90日', 'default': '180日'}"
{'default': 30},1,{'default': 90},{'default': 1},"{'脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96日', '语言能力丧失': '12月', '川崎病': '6月', '严重心肌炎': '6月', '脊髓灰质炎': '180日', '疾病或外伤所知智力障碍残疾': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '360日', '严重多发性硬化症': '180日', '植物人状态': '30日', '严重脊髓灰质炎': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '360日', '严重多发性硬化症': '180日', '植物人状态': '30日', '严重脊髓灰质炎': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '植物人': '30日', 'Ｉ型糖尿病': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '语言能力丧失': '360日', '脊髓灰质炎': '180日', '特发性慢性肾上腺皮质功能减退': '180日', '自主生活能力完全丧失': '180日', '植物人状态': '30日', '严重慢性复发性胰腺炎': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '360日', '多发性硬化症': '180日', '慢性复发性胰腺炎': '180日', '植物人状态': '30日', '终末期肺病': '90日', '重症肌无力': '360日', '原发性慢性肾上腺皮质功能减退': '180日'}"
{},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', 'default': '180日', '胰岛素依赖型糖尿病1型糖尿病180日植物人状态': '30日', '严重哮喘': 'none', '疾病或外伤所致智力障碍残疾': '180日', '急性心肌梗塞': '90日', '多发性硬化症': '180日', '重症肌无力': 'none', '重度头部外伤': '180日', '脑炎或脑膜炎': '180日', '脊髓灰质炎': '90日'}"
{},1,"{'因意外伤害事故见9.4以外的原因导致患本合同约定重大疾病': 180, '因遭受意外伤害事故患本合同约定重大疾病': 0}",{'default': 1},"{'急性心肌梗塞': '90日', '脑中风后遗症': '180日', '终末期肾病': '90肉', '脑炎后遗症或脑膜炎后遗症': '180日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '365日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化症': '180日', '植物人状态': '30日', '全身型重症肌无力': '365日', '严重脊髓灰质炎': '180日', '严重慢性复发性胰腺炎': '180日', '1型糖尿病及其并发症': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'严重脊髓灰质炎': '180日', '严重哮喘': '6月', '重症肌无力': '365日', '植物人状态': '30日', '胰岛素依赖型糖尿病1型糖尿病': '180日', '多发性硬化症': '180日', '语言能力丧失': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑中风后遗症': '180日'}"
{'default': 180},不详,{'default': 180},不详,不详
"{'因疾病导致一生命末期状态二约定的重大疾病三约定的特定疾病四长期看护状态五约定的恶性肿瘤': 90, '因意外事故导致一生命末期状态二约定的重大疾病三约定的特定疾病四长期看护状态': 0, '其他': None, 'default': None}",1,"{'因疾病导致一生命末期状态二约定的重大疾病三约定的特定疾病四长期看护状态五约定的恶性肿瘤': 90, '因意外事故导致一生命末期状态二约定的重大疾病三约定的特定疾病四长期看护状态': 0, '其他': None}",{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},"{'急性心肌梗塞、终末期肾病': '90', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、严重多发性硬化症、重度I型糖尿病、严重类风湿性关节炎': '180', '语言能力丧失、严重重症肌无力': '365'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'急性心肌梗塞、终末期肾病': '90', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、严重多发性硬化症、重度I型糖尿病、严重类风湿性关节炎': '180', '语言能力丧失、严重重症肌无力': '365'}"
"{'生命关爱提前给付保险金的等待期': 365, 'default': 90}",1,"{'生命关爱提前给付保险金的等待期': 365, 'default': 90}",{'default': 1},无
不详,不详,{'default': 180},不详,不详
{'default': 180},1,{'default': 180},{'default': 1},{'default': '90日'}
不详,不详,{'default': 180},不详,不详
"{'因疾病导致的': 180, '因意外事故导致': 0}",1,"{'因疾病导致的': 180, '因意外事故导致': 0}",{'default': 1},"{'植物人状态': '30日', '急性心肌梗塞、严重心肌炎、终末期肾病': '90日', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、严重多发性硬化症、重度I型糖尿病、严重类风湿性关节炎、严重哮喘': '180日', '语言能力丧失、严重重症肌无力': '365日'}"
{'首次投保本保险或非连续投保本保险：30': None},不详,"{'首次投保本保险或非连续投保本保险': 30, '连续投保': 0}",不详,不详
{'default': 30},1,{'default': 30},{'default': 1},无
不详,不详,{'default': 180},不详,不详
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '脑炎后遗症或脑膜炎后遗症': '180日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '360日', '重症肌无力': '365日', '严重1型糖尿病': '180日', '脊髓灰质炎': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '语言能力丧失': '365日', '特发性慢性肾上腺皮质功能减退': '180日', '脊髓灰质炎': '180日', '严重类风湿性关节炎': '180日'}"
{'default': 180},不详,{'default': 180},不详,不详
"{'重大疾病、轻症疾病、自主生活能力永久完全丧失': 180, '意外伤害': 0}","重大疾病保险金、护理辅助金,1;轻症疾病保险金,不详;",{'意外伤害': 0},{'重大疾病保险金、护理辅助金': 1},不详
"{'因疾病身故或发生重大疾病': 180, '意外伤害': 0}",1,"{'重大疾病': 180, '意外伤害': 0}",{'default': 1},不详
{'default': 30},1,{'default': 30},{'default': 1},{'default': '30日'}
"{'疾病终末期阶段保险金': 180, '第一类重大疾病保险金、儿童特定疾病保险金、第二类重大疾病保险金': 90, '意外伤害': 0}","第一类重大疾病,儿童特定疾病,全残,疾病终末期,1;第二类重大疾病,3（最多）;老年长期护理,120;","{'疾病终末期阶段保险金': 180, '第一类重大疾病保险金、儿童特定疾病保险金、第二类重大疾病保险金': 90, '意外伤害': 0}","{'第一类重大疾病、儿童特定疾病、全残、疾病终末期、身故': 1, '第二类重大疾病': 3, '老年长期护理': 120}",不详
{'default': 30},1,{'default': 30},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月'}"
{'default': 30},1,{'default': 30},{'default': 1},"{'终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '瘫痪': '180日', '严重脑损伤': '180日', '严重心肌炎': '6月', '严重癫痫': '6月', '严重的Ｉ型糖尿病': '180日', '脊髓灰质炎': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'严重类风湿关节炎': '3月', '多发性硬化': '180日', '植物人': '30日', '语言能力丧失': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病': '90日', '脑中风后遗症': '180日'}"
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日', '持续植物人状态': '30日'}"
无,无,无,无,无
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '语言能力丧失': '12月', '重症肌无力': '365日', '脊髓灰质炎': '180日', '植物人': '1月', '严重肠道疾病并发症': '3月', '埃博拉病毒感染': '30日', '胰岛素依赖型糖尿病Ｉ型糖尿病': '180日', '严重慢性复发性胰腺炎': '180日', '细菌性脑脊髓膜炎': '180日'}"
{'default': 0},1,{'default': 0},{'default': 1},无
{'default': 90},"重大疾病保险金,3;轻症疾病保险金,3;特定重大疾病保险金,1;长期护理保险金,120",{'default': 90},"{'身故或全残保险金': 1, '生命末期保险金': 1, '重大疾病保险金': 3, '轻症疾病保险金': 3, '特定重大疾病保险金': 1, '长期护理保险金': 120}",不详
{'default': 60},1,{'default': 60},{'default': 1},{'default': '60日'}
{'default': 180},1,{'default': 180},{'default': 1},不详
无,1,无,{'default': 1},无
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},"{'急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '去皮质综合症': '1月', '严重肌营养不良症': '180日', '严重的多发性硬化': '180日', '严重类风湿性关节炎': '3月', '全身性重症肌无力': 'none', '严重心肌炎': '180日', '急性脊髓灰质炎': '180日', '坏死性筋膜炎': '6月', '原发性心肌病': '180日', '埃博拉病毒感染': '20日', '肺源性心脏病': '180日', '慢性复发性胰腺炎': '180日', '严重哮喘': '6月'}"
{'default': 180},"重大疾病保险金,1;轻症重大疾病保险金,2;额外保障特别保险金,1;额外特定重大疾病保险金,1;高残保险金,1",{'default': 180},"{'重大疾病保险金': 1, '轻症重大疾病保险金': 2, '额外保障特别保险金': 1, '额外特定重大疾病保险金': 1, '高残保险金': 1, '身故保险金': 1}",不详
无,1,无,{'default': 3},无
无,1,无,{'default': 1},不详
