投保范围_开始年龄结束年龄,保险期间,重大疾病保险金给付日_时间长度
不详,"['180日', '420日']",['10']
"['18岁', '55岁']",['1年'],['60']
"['18岁', '55岁']",['1年'],['60']
"['30日', '60岁']",约定,
"['18岁', '60岁']",['70岁'],['60']
无,['5年'],['60']
不详,约定,['10']
"['18岁', '45岁']",['1年'],['60']
"['16岁', '65岁']",['1年'],['60']
不详,约定,['60']
"['16岁', '64岁']",['1年'],['10']
"['30日', '65岁']",['1年'],['10']
"['30日', '65岁']",['1年'],['10']
不详,['1年'],['10']
"['18岁', '55岁']",['1年'],['10']
不详,['1年'],['10']
不详,['1年'],['10']
不详,['15日'],['10']
不详,['1年'],['10']
"['20岁', '45岁']",['1年'],['10']
"['51岁', '65岁']",['1年'],['10']
"['18岁', '50岁']",['1年'],['10']
"['18岁', '50岁']",['1年'],['10']
不详,['1年'],['60']
"['18岁', '65岁']",['1年'],['10']
"['28日', '14岁']",['25岁'],['60']
"['28日', '60']",约定,['60']
"['30岁', '70岁']",终身,['60']
不详,['1年'],['60']
"['28-', '50']",['1年'],['60']
不详,约定,['60']
不详,约定,['10']
"['18岁', '65岁']",['1年'],['60']
无,终身,['10']
无,['1年'],
不详,['1年'],['10']
"['18岁', '60岁']",['5年'],['10']
"['18岁', '60岁']",['1年'],['60']
"['30日', '60岁']",约定,['10']
不详,终身,['10']
不详,终身,['10']
"['28日', '50岁']","['10年', '20年', '30年', '60岁', '70岁']",['10']
不详,终身,['10']
"['18岁', '65周']","['60岁', '70岁', '80岁']",['10']
"['30日', '60岁', '7岁', '60岁']","['10年', '15年', '20年', '30年', '60岁', '70岁', '80岁']",['10']
不详,['1年'],['10']
不详,['1年'],['10']
不详,约定,['30']
"['30日', '55岁']",约定,['60']
"['30日', '17岁']",['1年'],['30']
"['30日', '16岁']",['25岁'],['60']
"['18岁', '55岁']","['5年', '10年', '15年', '20年', '25年', '30年', '50岁', '55岁', '60岁', '65岁', '70岁', '75岁', '12种']",['10']
"['28日', '60岁']",终身,
"['18岁', '50岁']",约定,
不详,终身,['10']
"['28日', '55岁']","['20年', '30年', '60岁', '70岁']","['5', '30']"
"['18岁', '50岁']",约定,['10']
"['28日', '12岁']",['1年'],['10']
"['28日', '55岁']",['1年'],['10']
"['30日', '18岁']",终身,['10']
"['30日', '18岁']",['30岁'],['10']
不详,不详,['10']
"['28日', '60岁']",终身,['10']
"['28日', '17岁']",['1年'],['10']
不详,终身,['10']
"['30日', '60岁']","['20年', '30年', '70岁', '80岁']",['10']
不详,约定,['10']
"['50至', '75岁']",约定,['10']
"['18至', '55岁']",约定,['10']
"['18岁', '60岁']",约定,['10']
"['28日', '60岁']",['70岁'],['10']
不详,['1年'],['10']
"['30日', '60岁']",终身,['10']
不详,终身,['10']
"['28日', '18岁']",约定,['10']
"['50至', '75岁']",约定,['10']
"['30日', '60周']",约定,['10']
"['28日', '60岁']","['20年', '30年', '60岁', '70岁', '80岁']",['10']
"['18岁', '55岁']",终身,['10']
"['18岁', '55岁']",终身,['10']
"['18岁', '55岁']",终身,['10']
"['18岁', '55岁']",终身,['10']
"['18岁', '55岁']",终身,['10']
"['7日', '17岁']",终身,['10']
不详,['1年'],['10']
"['7日', '17岁']",终身,['10']
不详,"['180日', '420日']",['10']
"['28日', '65岁']",约定,
无,['28日'],
"['16岁', '40岁']",['70岁'],['10']
"['18岁', '56岁']",['1年'],
无,['15日'],
"['28日', '10岁']",['25岁'],
"['18岁', '55岁']","['10年', '20年']",['10']
"['28日', '15岁']",['30岁'],
"['28日', '17岁']",['1年'],['10']
无,['1年'],
"['18岁', '60岁']",['1年'],
"['28日', '17岁']",['1年'],['10']
