重大疾病保险金_是否有多次给付,是否有多次给付_单项,犹豫期_工本费,责任免除_是否有退还,续保_是否有等待期,续保_是否需要体检,续保_是否承诺续保,续保_是否有自动续保,缴费方式_是否有最低保费和最低保金要求,缴费方式_最低保费要求,缴费方式_最低保金要求,重大疾病保险金给付日_是否立即给付,给付总额的保证_单项,给付总额的保证_比例,基本保险金额的变更_单项,基本保险金额的变更_是否需要支付费用,基本保险金额的变更_不可变更保金的条件范围集合,基本保险金额的变更_保金可变更范围,保险费率的调整,保单贷款政策_是否可以贷款,保单贷款政策_是否可以未偿还完再增加贷款,保单贷款政策_政策复利间隔,自动垫交保险费
否,是,有,是,不详,不详,不详,不详,否,不详,不详,否,不详,不详,无,不详,不详,不详,有,是,不详,每年,有
否,无,有,是,无,无,无,无,否,无,无,是,无,无,有,不详,不详,不详,有,否,无,无,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,不详,不详,不详,有,否,否,无,无
否,无,有,是,否,无,无,无,不详,不详,不详,是,无,无,有,不详,不详,不详,有,否,无,无,有
否,无,有,是,无,无,无,无,否,无,无,是,无,无,无,无,无,无,无,否,无,无,有
否,无,无,是,否,不详,是,否,否,无,无,否,无,无,无,否,无,无,无,否,否,无,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,约定,否,无,无,有,否,否,无,有
否,无,无,是,否,否,否,否,否,无,无,不详,无,无,无,否,无,无,无,是,不详,无,无
否,无,无,是,否,否,否,否,否,无,无,否,否,无,无,否,无,无,有,否,否,无,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,无,不详,不详,有,否,无,无,无
否,无,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,不详,每年,有
否,无,有 ,不详,不详,不详,不详,不详,否,无,无,否,无,无,有,不详,不详,不详,有,否,否,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,否,无,无,无,是,否,不详,有
是,不详,有,是,无,无,无,无,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,有
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,不详,不详,不详,无,是,不详,无,无
不详,不详,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,是,每半年,有
不详,不详,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,不详,不详,不详,不详
不详,不详,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,是,每年,有
否,无,有,是,不详,不详,不详,不详,不详,不详,不详,是,不详,不详,不详,不详,不详,不详,有,是,是,不详,有
否,无,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,不详,每年,有
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,否,无,无,无,是,否,无,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,否,无,约定,有,否,否,无,有
否,无,无,是,否,否,否,否,无,无,无,否,无,无,无,否,无,无,无,是,否,无,无
约定,特定情况,无,是,不详,不详,不详,不详,否,不详,不详,否,不详,不详,不详,不详,不详,不详,无,不详,不详,不详,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,否,不详,不详,有,否,否,无,无
否,无,无,是,否,否,否,是,否,无,无,否,无,无,无,否,无,无,无,否,否,无,无
否,无,无,是,否,不详,不详,不详,否,无,无,否,无,无,无,否,无,无,无,否,无,无,无
否,无,有,是,否,无,无,无,否,无,无,否,无,无,无,否,无,无,无,否,否,无,有
否,无,无,是,否,不详,不详,不详,否,无,无,否,无,无,无,否,无,无,无,否,否,无,无
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,有,是,不详,不详,不详,不详,否,无,无,否,不详,不详,不详,不详,不详,不详,有,是,是,每日,无
否,无,无,是,否,否,否,否,是,约定,约定,否,无,无,有,否,无,全额,有,是,否,每半年,无
约定,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,不详,不详,不详,不详,不详,有,是,不详,每半年,无
否,无,不详,不详,不详,不详,否,否,不详,不详,不详,否,无,无,无,无,无,无,有,否,不详,不详,无
是,是,无,不详,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,是,投保人已付清本合同的全部保险费,申请减额时本公司规定的最低基本保险金额-不详,有,是,不详,不详,有
是,是,不详,不详,不详,不详,不详,不详,否,不详,不详,否,无,无,有,是,投保人已付清本合同的全部保险费,申请减额时本公司规定的最低基本保险金额-不详,有,是,不详,不详,有
是,是,不详,不详,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,是,投保人已付清本合同的全部保险费,申请减额时本公司规定的最低保险金额-不详,有,是,不详,不详,有
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,不详,不详,不详,不详,有,不详,不详,不详,有
否,无,无,是,是,不详,否,否,不详,不详,不详,否,无,无,无,无,无,无,有,否,无,无,无
否,无,有,是,否,无,无,无,不详,不详,不详,是,无,无,无,无,无,无,有,否,无,无,有
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,无,无,无,无,无,不详,不详,不详,有
否,否,无,是,是,否,否,否,否,无,无,否,无,无,有,否,无,无,有,是,是,无,有
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,不详,不详,不详,有,是,不详,无,有
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,是,是,否,否,否,无,无,否,无,无,无,否,无,无,有,是,是,每半年,有
否,无,无,是,否,否,否,否,是,约定,约定,否,无,无,有,否,不详,不详,有,是,否,不详,有
否,无,有,是,否,否,否,否,是,约定,约定,是,无,无,无,否,无,无,有,是,否,不详,无
否,无,无,是,否,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,有,是,否,无,有
否,无,有,是,否,无,无,无 ,否,无,无,否,无,无,有,不详,不详,不详,有,是,否,无,有
否,无,有,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,否,无,有
不详,无,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,是,否,无,无
是,不详,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,有,不详,不详,不详,有,是,是,每半年,不详
否,无,无,是,否,否,否,否,否,无,无,是,无,无,无,否,无,无,有,是,是,不详,无
否,无,无,是,否,否,否,否,否,无,无,是,无,无,无,否,无,无,有,否,否,无,无
否,无,无,是,否,是,否,否,否,无,无,否,无,无,有,否,无,无,有,是,是,每日,无
否,无,无,是,否,是,否,否,否,无,无,否,无,无,有,否,不详,无,有,是,是,每日,无
否,无,不详,是,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,是,不详,不详,无
否,无,不详,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,否,不详,本公司规定的最低标准-不详,有,是,不详,每年,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,否,无,无,有,否,否,无,无
约定,特定情况,有,特定情况,不详,不详,不详,不详,不详,不详,不详,否,无,无,无,无,无,无,有,是,不详,每年,无
否,无,无,是,否,不详,否,否,否,无,无,否,是,约定,有,否,无,无,有,否,否,无,无
是,无,有,是,否,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,是,不详,有
否,无,有,是,无,无,无,无,否,无,无,否,无,无,有,无,不详,低于投保时我们规定的最低基本保险金额-不详,有,是,否,无,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,是,无,有
否,无,有,是,否,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,有
否 ,无 ,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,不详,不详,有
否,无,无,是,否,否,是,是,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,有,否,无,无,有,否,否,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,否,无,无,有,否,否,无,无
否,无,有,是,无,无,无,无,不详,不详,不详,是,无,无,有,不详,不详,不详,无,是,不详,不详,有
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,是,无,无,无,否,无,无,无,无,无,无,无
否,无,无,是,是,否,是,否,无,无,无,是,无,无,无,否,无,无,无,否,无,无,无
是,是,有,是,否,无,无,无,不详,不详,不详,是,无,无,有,不详,不详,不详,有,否,无,无,无
否,无,无,是,不详,不详,不详,不详,否,无,无,是,无,无,无,无,无,无,无,无,无,无,无
否,无,有,否,否,无,无,无,不详,不详,不详,是,无,无,无,无,无,无,有,否,无,无,无
否,无,无,是,否,无,无,无,不详,不详,不详,是,无,无,无,无,无,无,无,无,无,无,无
否,无,不详,是,否,否,无,无,否,无,无,否,是,约定,无,否,无,无,无,否,否 ,无,无
否,无,无,是,否,无,无,无,不详,不详,不详,否,是,约定,无,是,无,无,有,否,否,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,有,是,否,无,无
否,无,无,是,无,无,无,无,否,不详,不详,否,无,无,有,不详,不详,不详,有,否,否,无,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,不详,无,不详,不详,不详,有,否,不详,不详,无
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,不详,无,不详,不详,不详,有,否,不详,不详,无
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,不详,无,不详,不详,不详,无,否,不详,不详,无
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,无,不详,不详,不详,不详,不详,有,不详,不详,不详,不详
否,是,无,是,不详,不详,不详,无,不详,不详,不详,是,是,约定,无,否,无,无,有,否,无,无,无
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详
否,无,无,是,否,否,否,否,否,不详,不详,是,无,无,无,不详,不详,不详,有,否,不详,不详,无
是,是,不详,是,不详,不详,不详,是,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,不详,不详,不详,不详
否,无,无,是,否,无,无,无,否,否,否,是,无,无,无,无,无,无,无,否,无,无,无
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,不详,不详,不详,不详
否,无,无,是,否,否,否,否,否,否,否,是,无,无,无,无,无,无,无,无,无,无,无
否,无,有,是,否,无,无,无,无,无,无,是,无,无,无,无,无,无,有,是,不详,每年,有
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,不详,不详,不详,有,不详,不详,不详,有,是,是,每日,不详
否,无,无,是,是,否,无,无,无,无,无,是,无,无,无,无,无,无,有,无,无,无,无
否,无,无,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,无,不详,不详,不详,有,否,无,无,无
否,无,无,无,无,否,否,否,否,否,否,是,无,无,有,无,无,无,有,无,无,无,无
否,无,无,是,否,否,否,否,是,无,约定,是,无,无,有,无,无,不得低于最低基本保险金额,无,是,无,无,有
否,无,无,是,无,无,无,无,无,无,无,是,无,无,无,无,无,无,无,无,无,无,无
否,无,无,是,无,无,无,无,否,无,无,是,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,否,无,无,无,否,无,无,是,无,无,无,否,无,无,无,否,无,无,无
否,无,有,是,否,无,无,无,否,否,否,是,无,无,无,无,无,无,无,是,不详,不详,有
否,无,有,是,否,无,无,无,否,无,无,是,无,无,无,无,无,无,无,是,不详,不详,有
否,无,无,是,否,不详,否,否,否,无,无,是,无,无,无,无,无,无,无,否,无,无,无
否,无,无,无,否,无,否,是,约定,约定,约定,是,是,约定,无,无,无,无,无,无,无,无,无
否,无,有,是,不详,不详,不详,不详,否,无,无,是,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,否,无,无,无,不详,不详,不详,是,无,无,有,是,无,无,无,无,不详,每年,有
否,无,无,是,否,否,否,否,是,无,约定,是,无,无,有,是,无,不得低于最低承保金额,无,是,否,每年,有
否,无,有,特定情况,无,无,无,无,不详,不详,不详,否,无,无,有,不详,不详,不详,不详,不详,不详,不详,无
否,无,有,不详,无,无,无,无,否,无,无,否,无,无,有,不详,不详,申请当时我们规定的最低限额-不详,有,是,否,无,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,否,无,无,无,是,否,无,有
是,是,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,有,不详,不详,不详,有,是,是,不详,不详
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,有,否,不详,变更生效当时本合同的现金价值扣除欠交保险费后的净额-不详,无,是,不详,不详,有
否,无,不详,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,有,不详,不详,不详,无,是,不详,不详,有
否,无,不详,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,不详,不详,不详,无,是,否,不详,有
否,无,不详,是,不详,不详,不详,不详,否,无,无,否,无,无,有,不详,不详,"（成人,保额不低于规定最低金额）、（未成年子女,不高于国家规定）",无,是,不详,不详,有
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,有,不详,不详,不详,有,是,不详,不详,不详
否,无,有,是,否,无,无,无,否,不详,不详,是,无,无,有,不详,投保人已付清本合同的全部保险费,不得低于本公司规定的最低标准,无,是,否,每年,无
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,有,不详,不详,不详,有,是,不详,不详,不详
否,无,有,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,不详,不详,不得低于本公司规定的最低标准,无,否,无,无,无
是,是,无,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,不详,不详,不详,不详
否,无,无,是,否,否,否,否,否,无,无,是,无,不详,无,无,无,无,有,否,无,无,无
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,不详,不详,不详
否,无,有,是,否,无,无,无,不详,不详,不详,是,无,无,无,无,无,无,无,是,不详,不详,无
否,无,有,是,否,无,无,无,无,无,无,是,无,无,有,不详,不详,不详,无,是,否,不详,无
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,不详,不详,有
约定,特定情况,有,是,不详,不详,不详,不详,不详,不详,不详,否,无,无,有,否,不详,变更时规定的最低基本保险金额-本合同的基本保险金额,无,是,不详,不详,无
否,无,有,是,不详,不详,不详,不详,否,无,无,否,无,无,不详,不详,不详,不详,无,是,不详,每日,无
否,无,不详,是,不详,不详,不详,不详,不详,不详,不详,是,无,无,无,无,无,无,无,否,无,无,无
约定,特定情况,无,是,不详,不详,不详,不详,否,无,无,否,无,无,有,是,不详,不详,无,是,不详,不详,有
否,无,无,是,否,否,是,是,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,是,否,否,是,是,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,无,不详,是 ,否,否,否,无,无,否,否,无,有,不详,无,无,有,是,是,无,无
是,是,无,是,无,无,无,无,否,无,无,否,是,约定,无,无,无,无,有,是,不详,无,有
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,有,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,是,是,约定,有
否,无,有,是,是,无,是,是,否,无,无,否,无,无,无,否,无,无,无,否,无,无,有 
否,无,无,是,不详,不详,否,否,否,无,无,不详,无,无,有,否,无,无,有,是,是,每半年,无
否,无,无,是,不详,不详,否,否,否,无,无,否,无,无,有,否,不详,不详,无,是,是,每半年,无
否,无,无,是,否,否,否,否,否,不详,不详,否,无,无,有,否,最低基本保险金额,最低基本保险金额-基本保险金额,有,是,是,每日,有
是,是,无,是,无,无,无,无,否,无,无,否,无,无,有,否,不详,不得低于变更时本公司规定的最低基本保险金额-原基本保险金额,无,是,不详,不详,有
否,特定情况,有,是,不详,不详,是,是,否,无,无,否,无,无,有,否,无,无,无,是,不详,不详,有
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,否,无,不详,否,否,否,无,无,否,无,无,无,否,无,无,无,否,无,无,无
否,无,有,否,不详,不详,否,否,是,不详,约定,不详,无,无,无,否,无,无,无,是,是,不详,有
否,无,不详,是,不详,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,不详,无,无,无
否,无,有,是,不详,不详,是,是,否,无,无,否,无,无,有,是,不详,不详,无,是,是,不详,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,否,无,是,无,无,无,无,否,无,无,否,无,无, 无,无,无,无,无,否,无,无,无
否,无,有,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,是,否,无,无
否,无,有,是,否,否,否,否,否,无,无,否,无,无,有,不详,不详,不详,有,是,是,每日,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
是,是,有,是,否,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,是,不详,不详
是,是,有,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,有,是,不详,不详,无
是,是,有,是,不详,不详,不详,不详,不详,不详,不详,否,不详,不详,不详,不详,不详,不详,有,是,不详,不详,不详
约定,特定情况,不详,是,不详,不详,否,否,否,无,无,否,无,无,无,无,无,无,有,不详,无,无,无
约定,特定情况,有,是,不详,不详,否,否,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,不详,不详,不详,不详,不详,不详,无,无,无,否,无,无,无,无,无,无,无,否,无,无,无
约定,是,有,是,不详,不详,不详,不详,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,否,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
是,是,有,是,不详,不详,不详,不详,否,无,无,否,无,无,有,不详,无,无,无,否,无,无,无
否,无,有,是,是,不详,否,否,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
是,是,无,是,否,否,否,否,无,无,无,否,无,无,有,否,投保人已付清本合同的全部保险费,减保后的保险费=本次减保前的保险费×(1-减保比例),无,否,无,无,无
否,无,不详,是,否,不详,不详,不详,不详,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,无,否,无,无,无,否,无,无,有
否,无,无,是,否,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,是,不详,是,否,否,无,无,否,无,无,有,否,无,无,有,是,是,不详,有
否,无,不详,是,是,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,无
否,无,不详,是,否,否,否,否,否,无,无,否,无,约定,有,否,不详,不详,无,否,否,不详,无
否,无,无,是,否,不详,否,否,否,无,无,否,无,无,无,否,无,无,有,否,无,无,无
否,否,有,是,否,是,否,否,否,无,无,否,无,不详,无,否,无,不详,无,是,是,每月,有
否,无,不详,是,是,不详,是,是,否,无,无,否,无,无,有,不详,不详,不详,无,是,是,不详,有
是,是,有,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
是,是,有,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
是,是,有,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,不详,是,是,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,不详,是,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
是,是,有,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,有,否,无,无,有
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,有,是,否,否,是,否,否,无,无,否,无,无,无,无,无,无,有,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,否,无,有
否,无,不详,是,无,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,是,无,无,有,无,无,无,无,无,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,有,不详,不详,不详,无,是,是,每半年,有
否,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,是,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,有
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,有
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,有
否,无,不详,是,否,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,不详,否,是,不详,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,无
否,无,不详,否,是,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,否,每年,有
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,否,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,是,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,是,是,每半年,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,有,否,否,否,是,是,否,无,无,否,无,无,无,无,无,无,有,是,不详,每半年,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,是,否,否,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,不详,每半年,无
否,无,有,是,否,否,是,否,否,无,无,否,无,无,有,不详,不详,不详,有,是,是,每日,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,否,否,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,否,不详,最低基本保险金额-不详,无,是,不详,不详,有
否,无,不详,是,否,不详,否,否,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,无,是,无,无,无,无,否,无,无,否,无,无,有,不详,不详,不详,无,是,否,不详,有
是,是,不详,是,是,不详,是,是,否,无,无,否,无,无,有,不详,不详,不详,无,是,是,每半年,有
否,无,无,否,否,不详,否,是,否,无,无,否,无,无,无,否,无,无,无,否,无,无,无
否,无,不详,是,是,不详,不详,不详,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
约定,无,无,是,不详,不详,不详,不详,否,无,无,否,无,无,有,否,不详,最低承保金额-当前保险金额,无,是,不详,每年,有
否,无,无,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,是,否,无,无
否,无,有,是,是,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,有,是,无,无,无,无,否,无,无,否,无,无,无,无,无,无,无,否,无,无,无
否,无,不详,是,不详,不详,是,是,否,无,无,否,无,无,无,无,无,无,无,是,是,不详,有
否,无,无,是,否,否,否,否,否,无,无,无,无,无,无,无,无,无,无,是,不详,无,无
否,无,无,是,否,不详,不详,不详,不详,不详,不详,否,无,无,有,不详,不详,不详,无,否,无,无,无
否,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
否,无,有,是,否,否,否,否,不详,不详,不详,否,无,无,无,无,无,无,无,否,无,无,无
